ciclo,id_entidad_federativa,entidad_federativa,id_municipio,municipio,tomas_pagadas,monto_agua,monto_recaudado_percapita,lugar_estatal_percapita,lugar_nacional_percapita,promedio_recaudacion_percapita_estatal,promedio_recaudacion_percapita_nacional,poblacion
2022,11,Guanajuato,32,San José Iturbide,17109,47686957,532,15,279,437,197,89558
2023,11,Guanajuato,32,San José Iturbide,17464,55582499,621,14,242,482,212,89558
2024,11,Guanajuato,32,San José Iturbide,17840,61226902,684,12,235,495,225,89558
2010,11,Guanajuato,33,San Luis de la Paz,13495,13899456,120,32,583,179,92,115656
2011,11,Guanajuato,33,San Luis de la Paz,13808,13389471,116,34,638,199,100,115656
2012,11,Guanajuato,33,San Luis de la Paz,14400,14874829,129,34,644,210,111,115656
2013,11,Guanajuato,33,San Luis de la Paz,13909,15945307,138,34,640,230,117,115656
2014,11,Guanajuato,33,San Luis de la Paz,14952,18687186,162,33,605,261,125,115656
2015,11,Guanajuato,33,San Luis de la Paz,7131,21658005,179,31,559,265,125,121027
2016,11,Guanajuato,33,San Luis de la Paz,7846,28610991,236,27,467,301,136,121027
2017,11,Guanajuato,33,San Luis de la Paz,8096,25837989,213,31,535,316,147,121027
2018,11,Guanajuato,33,San Luis de la Paz,12831,29802299,246,28,479,345,151,121027
2019,11,Guanajuato,33,San Luis de la Paz,16269,28260324,234,33,543,355,166,121027
2020,11,Guanajuato,33,San Luis de la Paz,16627,31043843,242,31,532,353,162,128536
2021,11,Guanajuato,33,San Luis de la Paz,18216,41353320,322,28,453,396,176,128536
2022,11,Guanajuato,33,San Luis de la Paz,18249,42479879,330,29,475,437,197,128536
2023,11,Guanajuato,33,San Luis de la Paz,14513,60630410,472,23,341,482,212,128536
2024,11,Guanajuato,33,San Luis de la Paz,14391,47670166,371,29,469,495,225,128536
2010,11,Guanajuato,34,Santa Catarina,653,372947,73,39,789,179,92,5120
2011,11,Guanajuato,34,Santa Catarina,686,391981,77,39,796,199,100,5120
2012,11,Guanajuato,34,Santa Catarina,718,399666,78,41,847,210,111,5120
2013,11,Guanajuato,34,Santa Catarina,736,526154,103,39,767,230,117,5120
2014,11,Guanajuato,34,Santa Catarina,743,460485,90,39,834,261,125,5120
2015,11,Guanajuato,34,Santa Catarina,510,697602,133,37,699,265,125,5261
2016,11,Guanajuato,34,Santa Catarina,517,801051,152,37,666,301,136,5261
2017,11,Guanajuato,34,Santa Catarina,634,1104709,210,33,544,316,147,5261
2018,11,Guanajuato,34,Santa Catarina,782,1298405,247,27,477,345,151,5261
2019,11,Guanajuato,34,Santa Catarina,805,1731206,329,20,395,355,166,5261
2020,11,Guanajuato,34,Santa Catarina,778,1705598,298,26,444,353,162,5723
2021,11,Guanajuato,34,Santa Catarina,1077,1640473,287,30,498,396,176,5723
2022,11,Guanajuato,34,Santa Catarina,805,1820217,318,30,497,437,197,5723
2023,11,Guanajuato,34,Santa Catarina,845,2103923,368,28,453,482,212,5723
2024,11,Guanajuato,34,Santa Catarina,831,2085703,364,30,478,495,225,5723
2010,11,Guanajuato,35,Santa Cruz de Juventino Rosas,11036,11433313,144,24,495,179,92,79214
2011,11,Guanajuato,35,Santa Cruz de Juventino Rosas,11364,12208021,154,26,489,199,100,79214
2012,11,Guanajuato,35,Santa Cruz de Juventino Rosas,11577,12374795,156,27,546,210,111,79214
2013,11,Guanajuato,35,Santa Cruz de Juventino Rosas,11960,13853999,175,29,524,230,117,79214
2014,11,Guanajuato,35,Santa Cruz de Juventino Rosas,12523,16872603,213,26,472,261,125,79214
2015,11,Guanajuato,35,Santa Cruz de Juventino Rosas,12874,16566201,199,29,508,265,125,83060
2016,11,Guanajuato,35,Santa Cruz de Juventino Rosas,11117,17188897,207,31,523,301,136,83060
2017,11,Guanajuato,35,Santa Cruz de Juventino Rosas,11577,20294359,244,26,473,316,147,83060
2018,11,Guanajuato,35,Santa Cruz de Juventino Rosas,13510,22178776,267,26,450,345,151,83060
2019,11,Guanajuato,35,Santa Cruz de Juventino Rosas,13839,23148362,279,27,476,355,166,83060
2020,11,Guanajuato,35,Santa Cruz de Juventino Rosas,14073,25878736,314,23,416,353,162,82340
2021,11,Guanajuato,35,Santa Cruz de Juventino Rosas,14286,27626981,336,24,433,396,176,82340
2022,11,Guanajuato,35,Santa Cruz de Juventino Rosas,14522,28437375,345,26,454,437,197,82340
2023,11,Guanajuato,35,Santa Cruz de Juventino Rosas,14730,31943620,388,26,433,482,212,82340
2024,11,Guanajuato,35,Santa Cruz de Juventino Rosas,15157,34645745,421,26,414,495,225,82340
2010,11,Guanajuato,36,Santiago Maravatío,1562,1039214,156,22,456,179,92,6670
2011,11,Guanajuato,36,Santiago Maravatío,1597,1057651,159,24,477,199,100,6670
2012,11,Guanajuato,36,Santiago Maravatío,1626,1117234,168,24,509,210,111,6670
2013,11,Guanajuato,36,Santiago Maravatío,1602,1294222,194,26,477,230,117,6670
2014,11,Guanajuato,36,Santiago Maravatío,1624,1522887,228,23,444,261,125,6670
2015,11,Guanajuato,36,Santiago Maravatío,1637,1432245,210,27,485,265,125,6824
2016,11,Guanajuato,36,Santiago Maravatío,1667,1441812,211,30,511,301,136,6824
2017,11,Guanajuato,36,Santiago Maravatío,1709,1291146,189,34,594,316,147,6824
2018,11,Guanajuato,36,Santiago Maravatío,1186,1273787,187,35,612,345,151,6824
2019,11,Guanajuato,36,Santiago Maravatío,1495,1613552,236,32,541,355,166,6824
2020,11,Guanajuato,36,Santiago Maravatío,1560,1659832,247,29,518,353,162,6714
2021,11,Guanajuato,36,Santiago Maravatío,1503,1881179,280,31,507,396,176,6714
2022,11,Guanajuato,36,Santiago Maravatío,1541,2045058,305,31,511,437,197,6714
2023,11,Guanajuato,36,Santiago Maravatío,1488,1881788,280,34,568,482,212,6714
2024,11,Guanajuato,36,Santiago Maravatío,1539,2153990,321,31,523,495,225,6714
2010,11,Guanajuato,37,Silao de la Victoria,18919,28992785,168,19,429,179,92,173024
2011,11,Guanajuato,37,Silao de la Victoria,19804,26995654,156,25,486,199,100,173024
2012,11,Guanajuato,37,Silao de la Victoria,20326,38632765,223,17,389,210,111,173024
2013,11,Guanajuato,37,Silao de la Victoria,20514,41321250,239,17,392,230,117,173024
2014,11,Guanajuato,37,Silao de la Victoria,21211,50363661,291,15,329,261,125,173024
2015,11,Guanajuato,37,Silao de la Victoria,15869,53451826,282,17,352,265,125,189567
2016,11,Guanajuato,37,Silao de la Victoria,16443,59834507,316,18,341,301,136,189567
2017,11,Guanajuato,37,Silao de la Victoria,16930,69091440,364,16,302,316,147,189567
2018,11,Guanajuato,37,Silao de la Victoria,20687,77817222,410,16,273,345,151,189567
2019,11,Guanajuato,37,Silao de la Victoria,18531,87157244,460,14,269,355,166,189567
2020,11,Guanajuato,37,Silao de la Victoria,16330,91667299,450,15,267,353,162,203556
2021,11,Guanajuato,37,Silao de la Victoria,19909,102906178,506,15,255,396,176,203556
2022,11,Guanajuato,37,Silao de la Victoria,26502,106748634,524,16,282,437,197,203556
2023,11,Guanajuato,37,Silao de la Victoria,26760,117415359,577,18,267,482,212,203556
2024,11,Guanajuato,37,Silao de la Victoria,27260,117094858,575,16,289,495,225,203556
2010,11,Guanajuato,38,Tarandacuao,3848,2564507,220,14,324,179,92,11641
2011,11,Guanajuato,38,Tarandacuao,3873,2768476,238,14,320,199,100,11641
2012,11,Guanajuato,38,Tarandacuao,4270,3223017,277,14,302,210,111,11641
2013,11,Guanajuato,38,Tarandacuao,4565,3693522,317,13,271,230,117,11641
2014,11,Guanajuato,38,Tarandacuao,4547,3813110,328,13,289,261,125,11641
2015,11,Guanajuato,38,Tarandacuao,3974,4158440,339,14,271,265,125,12256
2016,11,Guanajuato,38,Tarandacuao,3572,4283683,350,15,293,301,136,12256
2017,11,Guanajuato,38,Tarandacuao,4251,4488652,366,15,299,316,147,12256
2018,11,Guanajuato,38,Tarandacuao,4829,4662886,380,19,301,345,151,12256
2019,11,Guanajuato,38,Tarandacuao,4279,3130389,255,30,509,355,166,12256
2020,11,Guanajuato,38,Tarandacuao,2171,3276098,290,27,458,353,162,11304
2021,11,Guanajuato,38,Tarandacuao,2234,3647199,323,27,451,396,176,11304
2022,11,Guanajuato,38,Tarandacuao,2250,3934653,348,25,452,437,197,11304
2023,11,Guanajuato,38,Tarandacuao,2260,3712730,328,30,499,482,212,11304
2024,11,Guanajuato,38,Tarandacuao,2081,4603046,407,27,426,495,225,11304
2010,11,Guanajuato,39,Tarimoro,13848,9516388,268,10,263,179,92,35571
2011,11,Guanajuato,39,Tarimoro,13939,10056157,283,12,265,199,100,35571
2012,11,Guanajuato,39,Tarimoro,14043,10638854,299,12,278,210,111,35571
2013,11,Guanajuato,39,Tarimoro,14143,11310147,318,12,270,230,117,35571
2014,11,Guanajuato,39,Tarimoro,14517,11835231,333,12,275,261,125,35571
2015,11,Guanajuato,39,Tarimoro,16519,13506719,394,8,214,265,125,34263
2016,11,Guanajuato,39,Tarimoro,16512,14065837,411,12,233,301,136,34263
2017,11,Guanajuato,39,Tarimoro,18106,18316579,535,6,177,316,147,34263
2018,11,Guanajuato,39,Tarimoro,18167,20136140,588,6,153,345,151,34263
2019,11,Guanajuato,39,Tarimoro,19020,10700703,312,23,414,355,166,34263
2020,11,Guanajuato,39,Tarimoro,18389,20269161,565,8,189,353,162,35905
2021,11,Guanajuato,39,Tarimoro,18412,20894616,582,10,212,396,176,35905
2022,11,Guanajuato,39,Tarimoro,15647,21076871,587,13,241,437,197,35905
2023,11,Guanajuato,39,Tarimoro,15840,21049298,586,17,261,482,212,35905
2024,11,Guanajuato,39,Tarimoro,15520,19276861,537,17,310,495,225,35905
2010,11,Guanajuato,40,Tierra Blanca,776,729481,40,43,998,179,92,18175
2011,11,Guanajuato,40,Tierra Blanca,830,841674,46,43,995,199,100,18175
2012,11,Guanajuato,40,Tierra Blanca,835,522741,29,44,1187,210,111,18175
2013,11,Guanajuato,40,Tierra Blanca,850,678493,37,43,1125,230,117,18175
2014,11,Guanajuato,40,Tierra Blanca,875,901340,50,43,1058,261,125,18175
2015,11,Guanajuato,40,Tierra Blanca,623,635221,34,44,1181,265,125,18960
2016,11,Guanajuato,40,Tierra Blanca,542,700491,37,44,1189,301,136,18960
2017,11,Guanajuato,40,Tierra Blanca,594,920441,49,44,1116,316,147,18960
2018,11,Guanajuato,40,Tierra Blanca,632,794303,42,44,1173,345,151,18960
2019,11,Guanajuato,40,Tierra Blanca,721,1146575,60,44,1050,355,166,18960
2020,11,Guanajuato,40,Tierra Blanca,629,907859,45,44,1171,353,162,20007
2021,11,Guanajuato,40,Tierra Blanca,456,862098,43,44,1217,396,176,20007
2022,11,Guanajuato,40,Tierra Blanca,711,1065509,53,44,1209,437,197,20007
2023,11,Guanajuato,40,Tierra Blanca,839,1929634,96,42,1022,482,212,20007
2024,11,Guanajuato,40,Tierra Blanca,841,1941666,97,44,1029,495,225,20007
2010,11,Guanajuato,41,Uriangato,15243,17833173,301,7,223,179,92,59305
2011,11,Guanajuato,41,Uriangato,15403,20210656,341,8,203,199,100,59305
2012,11,Guanajuato,41,Uriangato,15713,18951325,320,9,250,210,111,59305
2013,11,Guanajuato,41,Uriangato,15634,20222372,341,9,244,230,117,59305
2014,11,Guanajuato,41,Uriangato,15729,21036361,355,11,257,261,125,59305
2015,11,Guanajuato,41,Uriangato,15825,22841892,364,13,245,265,125,62761
2016,11,Guanajuato,41,Uriangato,15928,24794333,395,13,247,301,136,62761
2017,11,Guanajuato,41,Uriangato,14124,26972317,430,13,245,316,147,62761
2018,11,Guanajuato,41,Uriangato,17002,29445887,469,13,229,345,151,62761
2019,11,Guanajuato,41,Uriangato,17724,30724991,490,12,252,355,166,62761
2020,11,Guanajuato,41,Uriangato,17901,33131603,539,11,209,353,162,61494
2021,11,Guanajuato,41,Uriangato,18345,33909861,551,12,226,396,176,61494
2022,11,Guanajuato,41,Uriangato,18312,36476153,593,12,239,437,197,61494
2023,11,Guanajuato,41,Uriangato,18859,39569886,643,11,230,482,212,61494
2024,11,Guanajuato,41,Uriangato,22507,42167392,686,11,234,495,225,61494
2010,11,Guanajuato,42,Valle de Santiago,19363,21518991,153,23,460,179,92,141058
2011,11,Guanajuato,42,Valle de Santiago,19945,23374202,166,23,464,199,100,141058
2012,11,Guanajuato,42,Valle de Santiago,20303,25049042,178,23,479,210,111,141058
2013,11,Guanajuato,42,Valle de Santiago,20630,27522158,195,25,472,230,117,141058
2014,11,Guanajuato,42,Valle de Santiago,21658,29442586,209,27,482,261,125,141058
2015,11,Guanajuato,42,Valle de Santiago,16157,32577498,228,25,457,265,125,142672
2016,11,Guanajuato,42,Valle de Santiago,17035,37063419,260,23,421,301,136,142672
2017,11,Guanajuato,42,Valle de Santiago,17649,38669574,271,23,431,316,147,142672
2018,11,Guanajuato,42,Valle de Santiago,18763,41562439,291,24,408,345,151,142672
2019,11,Guanajuato,42,Valle de Santiago,18600,42902348,301,24,433,355,166,142672
2020,11,Guanajuato,42,Valle de Santiago,18910,46946935,313,24,419,353,162,150054
2021,11,Guanajuato,42,Valle de Santiago,21129,51464290,343,23,420,396,176,150054
2022,11,Guanajuato,42,Valle de Santiago,23566,55213610,368,24,431,437,197,150054
2023,11,Guanajuato,42,Valle de Santiago,24032,65333243,435,25,384,482,212,150054
2024,11,Guanajuato,42,Valle de Santiago,24505,67487138,450,23,388,495,225,150054
2010,11,Guanajuato,43,Victoria,999,680421,34,44,1050,179,92,19820
2011,11,Guanajuato,43,Victoria,1066,652768,33,44,1109,199,100,19820
2012,11,Guanajuato,43,Victoria,1094,600271,30,43,1171,210,111,19820
2013,11,Guanajuato,43,Victoria,1317,549097,28,44,1211,230,117,19820
2014,11,Guanajuato,43,Victoria,1352,852386,43,44,1101,261,125,19820
2015,11,Guanajuato,43,Victoria,797,997423,49,43,1067,265,125,20166
2016,11,Guanajuato,43,Victoria,440,1409959,70,43,975,301,136,20166
2017,11,Guanajuato,43,Victoria,865,1269957,63,43,1018,316,147,20166
2018,11,Guanajuato,43,Victoria,955,1410392,70,43,982,345,151,20166
2019,11,Guanajuato,43,Victoria,997,1613970,80,43,954,355,166,20166
2020,11,Guanajuato,43,Victoria,992,1258877,59,43,1090,353,162,21253
2021,11,Guanajuato,43,Victoria,1133,1736995,82,43,1001,396,176,21253
2022,11,Guanajuato,43,Victoria,1146,1638795,77,43,1080,437,197,21253
2023,11,Guanajuato,43,Victoria,1167,1907995,90,43,1050,482,212,21253
2024,11,Guanajuato,43,Victoria,1250,2588040,122,41,940,495,225,21253
2010,11,Guanajuato,44,Villagrán,7917,7245007,130,29,547,179,92,55782
2011,11,Guanajuato,44,Villagrán,8418,7914798,142,30,542,199,100,55782
2012,11,Guanajuato,44,Villagrán,8896,8699666,156,28,549,210,111,55782
2013,11,Guanajuato,44,Villagrán,9242,10251681,184,27,492,230,117,55782
2014,11,Guanajuato,44,Villagrán,9531,11317001,203,28,492,261,125,55782
2015,11,Guanajuato,44,Villagrán,5007,13860728,236,22,439,265,125,58830
2016,11,Guanajuato,44,Villagrán,6034,19869326,338,16,308,301,136,58830
2017,11,Guanajuato,44,Villagrán,8062,15840662,269,24,435,316,147,58830
2018,11,Guanajuato,44,Villagrán,5000,15972085,271,25,447,345,151,58830
2019,11,Guanajuato,44,Villagrán,8572,19112175,325,21,401,355,166,58830
2020,11,Guanajuato,44,Villagrán,9091,21094836,321,22,407,353,162,65791
2021,11,Guanajuato,44,Villagrán,9341,23345039,355,22,405,396,176,65791
2022,11,Guanajuato,44,Villagrán,9934,26048138,396,22,398,437,197,65791
2023,11,Guanajuato,44,Villagrán,10520,33126263,504,19,312,482,212,65791
2024,11,Guanajuato,44,Villagrán,10732,34097151,518,18,321,495,225,65791
2010,11,Guanajuato,45,Xichú,489,84154,7,45,1545,179,92,11560
2011,11,Guanajuato,45,Xichú,491,86035,7,45,1531,199,100,11560
2012,11,Guanajuato,45,Xichú,554,78120,7,45,1555,210,111,11560
2013,11,Guanajuato,45,Xichú,560,107199,9,45,1509,230,117,11560
2014,11,Guanajuato,45,Xichú,565,100388,9,45,1531,261,125,11560
2015,11,Guanajuato,45,Xichú,161,109022,9,45,1525,265,125,11639
2016,11,Guanajuato,45,Xichú,161,115926,10,45,1533,301,136,11639
2017,11,Guanajuato,45,Xichú,166,114773,10,45,1556,316,147,11639
2018,11,Guanajuato,45,Xichú,188,124274,11,45,1563,345,151,11639
2019,11,Guanajuato,45,Xichú,205,152011,13,45,1537,355,166,11639
2020,11,Guanajuato,45,Xichú,225,184875,17,45,1462,353,162,11143
2021,11,Guanajuato,45,Xichú,221,200522,18,45,1467,396,176,11143
2022,11,Guanajuato,45,Xichú,234,187284,17,45,1533,437,197,11143
2023,11,Guanajuato,45,Xichú,225,207595,19,45,1553,482,212,11143
2024,11,Guanajuato,45,Xichú,249,197252,18,45,1556,495,225,11143
2010,11,Guanajuato,46,Yuriria,8113,5141857,73,40,791,179,92,70782
2011,11,Guanajuato,46,Yuriria,8433,6285760,89,36,732,199,100,70782
2012,11,Guanajuato,46,Yuriria,8592,5868824,83,39,818,210,111,70782
2013,11,Guanajuato,46,Yuriria,8977,4432172,63,42,950,230,117,70782
2014,11,Guanajuato,46,Yuriria,9110,5170755,73,41,919,261,125,70782
2015,11,Guanajuato,46,Yuriria,5500,7307398,105,39,782,265,125,69763
2016,11,Guanajuato,46,Yuriria,6900,7292226,105,40,822,301,136,69763
2017,11,Guanajuato,46,Yuriria,6800,7468394,107,41,832,316,147,69763
2018,11,Guanajuato,46,Yuriria,5796,6850673,98,41,867,345,151,69763
2019,11,Guanajuato,46,Yuriria,4431,9855788,141,38,757,355,166,69763
2020,11,Guanajuato,46,Yuriria,5870,8804689,128,38,794,353,162,68741
2021,11,Guanajuato,46,Yuriria,5950,10492586,153,38,752,396,176,68741
2022,11,Guanajuato,46,Yuriria,6534,9523040,139,40,859,437,197,68741
2023,11,Guanajuato,46,Yuriria,6609,9598863,140,40,858,482,212,68741
2024,11,Guanajuato,46,Yuriria,6676,12476387,181,40,778,495,225,68741
2010,12,Guerrero,1,Acapulco de Juárez,64463,442717749,560,2,64,34,92,789971
2011,12,Guerrero,1,Acapulco de Juárez,65860,490910060,621,2,64,37,100,789971
2012,12,Guerrero,1,Acapulco de Juárez,69698,484201274,613,2,79,39,111,789971
2013,12,Guerrero,1,Acapulco de Juárez,71236,488909809,619,2,87,77,117,789971
2014,12,Guerrero,1,Acapulco de Juárez,78864,562158972,712,2,75,83,125,789971
2015,12,Guerrero,1,Acapulco de Juárez,81457,686821615,847,2,42,87,125,810669
2016,12,Guerrero,1,Acapulco de Juárez,83458,778442391,960,2,35,92,136,810669
2017,12,Guerrero,1,Acapulco de Juárez,88125,744567328,918,2,55,53,147,810669
2018,12,Guerrero,1,Acapulco de Juárez,91658,809965088,999,2,48,54,151,810669
2019,12,Guerrero,1,Acapulco de Juárez,95075,849289720,1048,2,54,58,166,810669
2020,12,Guerrero,1,Acapulco de Juárez,91058,726149966,931,2,72,51,162,779566
2021,12,Guerrero,1,Acapulco de Juárez,84689,555167399,712,2,151,48,176,779566
2022,12,Guerrero,1,Acapulco de Juárez,96478,667131128,856,2,127,58,197,779566
2023,12,Guerrero,1,Acapulco de Juárez,97432,702467427,901,2,129,64,212,779566
2024,12,Guerrero,1,Acapulco de Juárez,98473,703697882,903,2,150,63,225,779566
2010,12,Guerrero,2,Ahuacuotzingo,0,0,0,37,1885,34,92,25027
2011,12,Guerrero,2,Ahuacuotzingo,0,0,0,43,1839,37,100,25027
2012,12,Guerrero,2,Ahuacuotzingo,0,0,0,44,1819,39,111,25027
2013,12,Guerrero,2,Ahuacuotzingo,0,0,0,42,1845,77,117,25027
2014,12,Guerrero,2,Ahuacuotzingo,0,0,0,43,1812,83,125,25027
2015,12,Guerrero,2,Ahuacuotzingo,0,0,0,43,1832,87,125,26858
2016,12,Guerrero,2,Ahuacuotzingo,0,0,0,44,1852,92,136,26858
2017,12,Guerrero,2,Ahuacuotzingo,0,0,0,40,1875,53,147,26858
2018,12,Guerrero,2,Ahuacuotzingo,0,0,0,42,1913,54,151,26858
2019,12,Guerrero,2,Ahuacuotzingo,89,43476,2,49,1828,58,166,26858
2020,12,Guerrero,2,Ahuacuotzingo,125,89415,4,37,1757,51,162,25205
2021,12,Guerrero,2,Ahuacuotzingo,128,27775,1,45,1876,48,176,25205
2022,12,Guerrero,2,Ahuacuotzingo,209,52730,2,56,1871,58,197,25205
2023,12,Guerrero,2,Ahuacuotzingo,312,90400,4,50,1840,64,212,25205
2024,12,Guerrero,2,Ahuacuotzingo,0,7400,0,51,1925,63,225,25205
2010,12,Guerrero,3,Ajuchitlán del Progreso,0,0,0,37,1885,34,92,38203
2011,12,Guerrero,3,Ajuchitlán del Progreso,305,90340,2,38,1718,37,100,38203
2012,12,Guerrero,3,Ajuchitlán del Progreso,328,115420,3,36,1680,39,111,38203
2013,12,Guerrero,3,Ajuchitlán del Progreso,25,7640,0,41,1845,77,117,38203
2014,12,Guerrero,3,Ajuchitlán del Progreso,0,0,0,43,1812,83,125,38203
2015,12,Guerrero,3,Ajuchitlán del Progreso,0,0,0,43,1832,87,125,38134
2016,12,Guerrero,3,Ajuchitlán del Progreso,56,24134,1,43,1843,92,136,38134
2017,12,Guerrero,3,Ajuchitlán del Progreso,212,98643,3,34,1774,53,147,38134
2018,12,Guerrero,3,Ajuchitlán del Progreso,193,83498,2,37,1816,54,151,38134
2019,12,Guerrero,3,Ajuchitlán del Progreso,175,70095,2,47,1820,58,166,38134
2020,12,Guerrero,3,Ajuchitlán del Progreso,0,0,0,45,1884,51,162,37655
2021,12,Guerrero,3,Ajuchitlán del Progreso,0,0,0,49,1909,48,176,37655
2022,12,Guerrero,3,Ajuchitlán del Progreso,0,0,0,58,1933,58,197,37655
2023,12,Guerrero,3,Ajuchitlán del Progreso,0,0,0,55,1945,64,212,37655
2024,12,Guerrero,3,Ajuchitlán del Progreso,0,0,0,51,1925,63,225,37655
2010,12,Guerrero,4,Alcozauca de Guerrero,0,0,0,37,1885,34,92,18971
2011,12,Guerrero,4,Alcozauca de Guerrero,0,0,0,43,1839,37,100,18971
2012,12,Guerrero,4,Alcozauca de Guerrero,0,0,0,44,1819,39,111,18971
2013,12,Guerrero,4,Alcozauca de Guerrero,0,0,0,42,1845,77,117,18971
2014,12,Guerrero,4,Alcozauca de Guerrero,0,0,0,43,1812,83,125,18971
2015,12,Guerrero,4,Alcozauca de Guerrero,0,0,0,43,1832,87,125,19368
2016,12,Guerrero,4,Alcozauca de Guerrero,0,0,0,44,1852,92,136,19368
2017,12,Guerrero,4,Alcozauca de Guerrero,0,0,0,40,1875,53,147,19368
2018,12,Guerrero,4,Alcozauca de Guerrero,0,0,0,42,1913,54,151,19368
2019,12,Guerrero,4,Alcozauca de Guerrero,96,32066,2,48,1826,58,166,19368
2020,12,Guerrero,4,Alcozauca de Guerrero,39,12358,1,44,1878,51,162,21225
2021,12,Guerrero,4,Alcozauca de Guerrero,68,10368,0,49,1909,48,176,21225
2022,12,Guerrero,4,Alcozauca de Guerrero,0,50471,2,54,1858,58,197,21225
2023,12,Guerrero,4,Alcozauca de Guerrero,152,34168,2,53,1902,64,212,21225
2024,12,Guerrero,4,Alcozauca de Guerrero,0,0,0,51,1925,63,225,21225
2010,12,Guerrero,5,Alpoyeca,0,0,0,37,1885,34,92,6637
2011,12,Guerrero,5,Alpoyeca,0,0,0,43,1839,37,100,6637
2012,12,Guerrero,5,Alpoyeca,0,9037,1,42,1773,39,111,6637
2013,12,Guerrero,5,Alpoyeca,156,54013,8,26,1534,77,117,6637
2014,12,Guerrero,5,Alpoyeca,112,18678,3,35,1704,83,125,6637
2015,12,Guerrero,5,Alpoyeca,59,8457,1,40,1800,87,125,6657
2016,12,Guerrero,5,Alpoyeca,487,78363,12,25,1501,92,136,6657
2017,12,Guerrero,5,Alpoyeca,0,116460,17,23,1425,53,147,6657
2018,12,Guerrero,5,Alpoyeca,230,96450,14,22,1491,54,151,6657
2019,12,Guerrero,5,Alpoyeca,0,0,0,52,1873,58,166,6657
2020,12,Guerrero,5,Alpoyeca,0,0,0,45,1884,51,162,7813
2021,12,Guerrero,5,Alpoyeca,0,0,0,49,1909,48,176,7813
2022,12,Guerrero,5,Alpoyeca,183,56250,7,41,1740,58,197,7813
2023,12,Guerrero,5,Alpoyeca,238,83702,11,32,1677,64,212,7813
2024,12,Guerrero,5,Alpoyeca,0,0,0,51,1925,63,225,7813
2010,12,Guerrero,6,Apaxtla,683,118163,10,25,1476,34,92,12389
2011,12,Guerrero,6,Apaxtla,702,123321,10,26,1466,37,100,12389
2012,12,Guerrero,6,Apaxtla,628,56447,5,32,1632,39,111,12389
2013,12,Guerrero,6,Apaxtla,0,0,0,42,1845,77,117,12389
2014,12,Guerrero,6,Apaxtla,0,0,0,43,1812,83,125,12389
2015,12,Guerrero,6,Apaxtla,0,0,0,43,1832,87,125,11159
2016,12,Guerrero,6,Apaxtla,0,0,0,44,1852,92,136,11159
2017,12,Guerrero,6,Apaxtla,0,0,0,40,1875,53,147,11159
2018,12,Guerrero,6,Apaxtla,0,0,0,42,1913,54,151,11159
2019,12,Guerrero,6,Apaxtla,604,396532,36,17,1258,58,166,11159
2020,12,Guerrero,6,Apaxtla,418,245098,22,17,1390,51,162,11112
2021,12,Guerrero,6,Apaxtla,403,237909,21,19,1430,48,176,11112
2022,12,Guerrero,6,Apaxtla,1045,365719,33,21,1367,58,197,11112
2023,12,Guerrero,6,Apaxtla,1235,378335,34,20,1395,64,212,11112
2024,12,Guerrero,6,Apaxtla,1312,381909,34,18,1378,63,225,11112
2010,12,Guerrero,7,Arcelia,956,811013,25,16,1156,34,92,32181
2011,12,Guerrero,7,Arcelia,998,2108162,66,10,853,37,100,32181
2012,12,Guerrero,7,Arcelia,985,1964373,61,10,946,39,111,32181
2013,12,Guerrero,7,Arcelia,641,840230,26,16,1234,77,117,32181
2014,12,Guerrero,7,Arcelia,663,857993,27,17,1254,83,125,32181
2015,12,Guerrero,7,Arcelia,464,471930,15,21,1411,87,125,31406
2016,12,Guerrero,7,Arcelia,512,670612,21,20,1359,92,136,31406
2017,12,Guerrero,7,Arcelia,584,787610,25,20,1333,53,147,31406
2018,12,Guerrero,7,Arcelia,598,771421,25,18,1366,54,151,31406
2019,12,Guerrero,7,Arcelia,605,749118,24,21,1369,58,166,31406
2020,12,Guerrero,7,Arcelia,489,337879,10,26,1583,51,162,33267
2021,12,Guerrero,7,Arcelia,165,35350,1,46,1880,48,176,33267
2022,12,Guerrero,7,Arcelia,1425,176450,5,45,1779,58,197,33267
2023,12,Guerrero,7,Arcelia,1502,141400,4,48,1825,64,212,33267
2024,12,Guerrero,7,Arcelia,0,104600,3,48,1834,63,225,33267
2010,12,Guerrero,8,Atenango del Río,63,28035,3,32,1696,34,92,8390
2011,12,Guerrero,8,Atenango del Río,71,59058,7,32,1544,37,100,8390
2012,12,Guerrero,8,Atenango del Río,48,20001,2,38,1714,39,111,8390
2013,12,Guerrero,8,Atenango del Río,106,39149,5,31,1641,77,117,8390
2014,12,Guerrero,8,Atenango del Río,101,31901,4,33,1676,83,125,8390
2015,12,Guerrero,8,Atenango del Río,112,34078,4,31,1677,87,125,8731
2016,12,Guerrero,8,Atenango del Río,126,50224,6,34,1647,92,136,8731
2017,12,Guerrero,8,Atenango del Río,206,93042,11,26,1537,53,147,8731
2018,12,Guerrero,8,Atenango del Río,189,86435,10,27,1581,54,151,8731
2019,12,Guerrero,8,Atenango del Río,278,160579,18,25,1442,58,166,8731
2020,12,Guerrero,8,Atenango del Río,216,90589,10,27,1587,51,162,9147
2021,12,Guerrero,8,Atenango del Río,209,65330,7,31,1675,48,176,9147
2022,12,Guerrero,8,Atenango del Río,242,133584,15,30,1568,58,197,9147
